Section Name,Sub Section 1,Sub Section 2,Sub Section 3,Section Prefix,Question Sequence,Question,Checked_ConfirmedDOR Field Documentation,API Name,Data Type,Picklist Values,Required,Dependent Question,Question Context
SaaS Architecture & Technical Fundamentals,Cloud Architecture Concepts,,,S1.1,Q1,What is the difference between multi-tenant and single-tenant SaaS architecture?,,multi_vs_single_tenant_architecture,Text,,No,,Architecture evaluation during vendor assessment
SaaS Architecture & Technical Fundamentals,Cloud Architecture Concepts,,,S1.1,Q2,"What does ""cloud-native"" mean and why does it matter when evaluating a SaaS product?",,cloud_native_definition,Text,,No,,Technical due diligence during vendor selection
SaaS Architecture & Technical Fundamentals,Cloud Architecture Concepts,,,S1.1,Q3,What is an API and why is it important when a business adopts a new SaaS platform?,,api_importance_saas,Text,,No,,Integration planning during platform evaluation
SaaS Architecture & Technical Fundamentals,Cloud Architecture Concepts,,,S1.1,Q4,What is the difference between REST and GraphQL APIs and when would a customer prefer each?,,rest_vs_graphql,Text,,No,,API selection for integration architecture
SaaS Architecture & Technical Fundamentals,Cloud Architecture Concepts,,,S1.1,Q5,What is a microservices architecture and what are its main advantages for a SaaS vendor's customers?,,microservices_advantages,Text,,No,,Vendor architecture assessment
SaaS Architecture & Technical Fundamentals,Cloud Architecture Concepts,,,S1.1,Q6,What is an SLA (Service Level Agreement) and what are the most important elements a customer should look for in one?,,sla_key_elements,Text,,No,,Contract review and vendor commitment assessment
SaaS Architecture & Technical Fundamentals,Cloud Architecture Concepts,,,S1.1,Q7,A prospect's CTO asks: We need 99.99% uptime. How do I assess whether any SaaS vendor can actually deliver this? Walk through a rigorous vendor uptime assessment framework.,,uptime_vendor_assessment_framework,Text,,No,,Enterprise uptime requirement validation
SaaS Architecture & Technical Fundamentals,Data Security Fundamentals,,,S1.2,Q8,"What does ""encryption at rest"" mean and why should customers ask about it when evaluating a SaaS vendor?",,encryption_at_rest_definition,Text,,No,,Security evaluation during vendor assessment
SaaS Architecture & Technical Fundamentals,Data Security Fundamentals,,,S1.2,Q9,What is the difference between SOC 2 Type I and SOC 2 Type II certification?,,soc2_type1_vs_type2,Text,,No,,Compliance certification review
SaaS Architecture & Technical Fundamentals,Data Security Fundamentals,,,S1.2,Q10,What is MFA (Multi-Factor Authentication) and why should it be mandatory for SaaS platforms used in business?,,mfa_importance_business_saas,Text,,No,,Security baseline requirement assessment
SaaS Architecture & Technical Fundamentals,Data Security Fundamentals,,,S1.2,Q11,What is RBAC (Role-Based Access Control) and what are its limitations compared to ABAC (Attribute-Based Access Control)?,,rbac_vs_abac,Text,,No,,Access control architecture evaluation
SaaS Architecture & Technical Fundamentals,Data Security Fundamentals,,,S1.2,Q12,What is a penetration test and what questions should a customer ask a vendor about their penetration testing practices?,,penetration_testing_vendor_questions,Text,,No,,Security assessment during vendor evaluation
SaaS Architecture & Technical Fundamentals,Data Security Fundamentals,,,S1.2,Q13,A CISO asks: Walk me through what actually happens to our data if your company is acquired by a competitor or goes out of business. Construct a comprehensive answer.,,data_protection_acquisition_insolvency,Text,,No,,Enterprise risk and continuity planning
Pricing Packaging & Commercial Terms,SaaS Pricing Models,,,S2.1,Q14,What are the most common SaaS pricing models and what are the advantages of each?,,common_saas_pricing_models,Text,,No,,Commercial evaluation and budget planning
Pricing Packaging & Commercial Terms,SaaS Pricing Models,,,S2.1,Q15,What is a free trial in SaaS and what are the most important limitations customers should look for?,,free_trial_limitations,Text,,No,,Pre-purchase evaluation planning
Pricing Packaging & Commercial Terms,SaaS Pricing Models,,,S2.1,Q16,What is total cost of ownership (TCO) in the context of a SaaS purchase and why is it more meaningful than licence cost comparison?,,tco_saas_definition,Text,,No,,CFO and budget committee approval process
Pricing Packaging & Commercial Terms,SaaS Pricing Models,,,S2.1,Q17,What is the difference between annual and monthly SaaS billing and when should a customer choose each?,,annual_vs_monthly_billing,Text,,No,,Billing cycle decision during procurement
Pricing Packaging & Commercial Terms,SaaS Pricing Models,,,S2.1,Q18,"A CFO asks: Before I approve this SaaS purchase, walk me through every cost that will appear on our P&L over the next three years. Construct a complete cost inventory framework.",,three_year_cost_inventory_framework,Text,,No,,Executive financial approval and budget justification
Pricing Packaging & Commercial Terms,Contract Terms,,,S2.2,Q19,What is an MSA (Master Service Agreement) and what does it typically cover in a SaaS context?,,msa_definition_saas,Text,,No,,Legal contract review during procurement
Pricing Packaging & Commercial Terms,Contract Terms,,,S2.2,Q20,What is vendor lock-in and how can a customer protect against it contractually?,,vendor_lockin_contractual_protection,Text,,No,,Risk mitigation during vendor selection
Pricing Packaging & Commercial Terms,Contract Terms,,,S2.2,Q21,What is an indemnification clause in a SaaS contract and why does it matter?,,indemnification_clause_saas,Text,,No,,Legal review and risk assessment
Pricing Packaging & Commercial Terms,Contract Terms,,,S2.2,Q22,What is a data breach notification clause and what response time should customers require?,,breach_notification_clause,Text,,No,,GDPR and compliance-driven contract requirement
Pricing Packaging & Commercial Terms,Contract Terms,,,S2.2,Q23,A legal team presents a vendor's standard MSA and asks you to identify the five most important clauses to negotiate before signing. What are they and why?,,msa_top_five_negotiation_clauses,Text,,No,,Legal negotiation during enterprise procurement
Integration & Implementation,Integration Architecture,,,S3.1,Q24,What is an iPaaS (Integration Platform as a Service) and when should a customer use one instead of native integrations?,,ipaas_definition_use_cases,Text,,No,,Integration strategy and tool selection
Integration & Implementation,Integration Architecture,,,S3.1,Q25,What is SCIM (System for Cross-domain Identity Management) and why is it important for enterprise software purchases?,,scim_definition_importance,Text,,No,,Identity and access management integration planning
Integration & Implementation,Integration Architecture,,,S3.1,Q26,What is a webhook and how does it differ from polling-based API integration?,,webhook_vs_polling,Text,,No,,Integration architecture design
Integration & Implementation,Integration Architecture,,,S3.1,Q27,A customer asks: What is the best way to plan an integration between a new SaaS platform and our existing CRM? Walk through a structured integration planning approach.,,crm_integration_planning_approach,Text,,No,,CRM integration planning session
Integration & Implementation,Integration Architecture,,,S3.1,Q28,An IT Director says: We run 14 different SaaS tools and every integration is its own custom project. What is the right architectural answer to this problem? Construct a strategic response.,,hub_and_spoke_integration_strategy,Text,,No,,Enterprise integration architecture redesign
Integration & Implementation,Implementation Best Practices,,,S3.2,Q29,What is a Proof of Concept (PoC) in a SaaS evaluation and why is it more valuable than a vendor demo?,,poc_vs_vendor_demo,Text,,No,,Pre-purchase evaluation methodology
Integration & Implementation,Implementation Best Practices,,,S3.2,Q30,What is change management in a software implementation and why is it critical for user adoption?,,change_management_user_adoption,Text,,No,,Implementation planning and user adoption strategy
Integration & Implementation,Implementation Best Practices,,,S3.2,Q31,What is a parallel run in a software implementation and when is it used?,,parallel_run_implementation,Text,,No,,Risk mitigation for mission-critical system cutover
Integration & Implementation,Implementation Best Practices,,,S3.2,Q32,What are the most common reasons enterprise SaaS implementations run over time or over budget?,,implementation_overrun_causes,Text,,No,,Implementation risk assessment and planning
Sales Methodology & Process,Qualification and Discovery,,,S4.1,Q33,What is BANT qualification and what does each letter stand for?,,bant_qualification_framework,Text,,No,,Sales qualification and lead prioritisation
Sales Methodology & Process,Qualification and Discovery,,,S4.1,Q34,What is the difference between a Marketing Qualified Lead (MQL) and a Sales Qualified Lead (SQL)?,,mql_vs_sql_definition,Text,,No,,Lead handoff process between marketing and sales
Sales Methodology & Process,Qualification and Discovery,,,S4.1,Q35,What is MEDDIC and how does it improve on BANT for complex enterprise sales?,,meddic_vs_bant,Text,,No,,Complex enterprise deal qualification
Sales Methodology & Process,Qualification and Discovery,,,S4.1,Q36,What is multi-threading in enterprise sales and why does it improve close rates?,,multi_threading_enterprise_sales,Text,,No,,Enterprise stakeholder management and deal strategy
Sales Methodology & Process,Qualification and Discovery,,,S4.1,Q37,"A sales representative has been working a deal for six weeks. The champion is enthusiastic, the PoC went well, and the economic buyer verbally agreed but nothing has been signed. What are the most likely scenarios and how should the sales representative diagnose and address each?",,stalled_deal_diagnosis_framework,Text,,No,,Late-stage deal management and recovery
Sales Methodology & Process,Objection Handling,,,S4.2,Q38,What is the most effective structure for handling a sales objection?,,sales_objection_handling_structure,Text,,No,,General objection handling across all deal stages
Sales Methodology & Process,Objection Handling,,,S4.2,Q39,"What is the ""cost of delay"" framework for the ""we don't have budget right now"" objection?",,cost_of_delay_framework,Text,,No,,Budget timing objection response
Sales Methodology & Process,Objection Handling,,,S4.2,Q40,What is the difference between a feature objection and a fit objection and how should each be handled differently?,,feature_vs_fit_objection,Text,,No,,Objection type diagnosis and response strategy
Sales Methodology & Process,Objection Handling,,,S4.2,Q41,How should a sales representative respond when a prospect says we're talking to three other vendors and you all look the same to us?,,competitive_differentiation_response,Text,,No,,Multi-vendor competitive evaluation scenario
Sales Methodology & Process,Objection Handling,,,S4.2,Q42,A well-prepared prospect CFO presents a spreadsheet showing your platform costs 22% more per user than a competitor over three years. They ask you to match the competitor's price. Walk through the complete response framework.,,price_objection_response_framework,Text,,No,,Pricing pressure and discount negotiation scenario
Customer Success & Retention,Post-Sale Engagement,,,S5.1,Q43,What is customer onboarding in SaaS and why does it matter for long-term retention?,,customer_onboarding_retention_link,Text,,No,,Post-sale engagement and time-to-value planning
Customer Success & Retention,Post-Sale Engagement,,,S5.1,Q44,What is a Customer Success Manager (CSM) and how does their role differ from an Account Manager?,,csm_vs_account_manager,Text,,No,,Post-sale team structure and responsibility definition
Customer Success & Retention,Post-Sale Engagement,,,S5.1,Q45,What are the leading indicators of customer churn in SaaS and how should vendors monitor them?,,churn_leading_indicators,Text,,No,,Customer health monitoring and retention strategy
Customer Success & Retention,Post-Sale Engagement,,,S5.1,Q46,What is Net Revenue Retention (NRR) and why is it a more important metric than gross revenue retention for a SaaS business?,,nrr_vs_gross_retention,Text,,No,,Revenue health and expansion tracking
Customer Success & Retention,Post-Sale Engagement,,,S5.1,Q47,A Customer Success Manager discovers that a 200-seat enterprise customer has only 40 active users six months after go-live and their renewal is in 90 days. Walk through a complete at-risk customer recovery strategy.,,at_risk_customer_recovery_strategy,Text,,No,,Enterprise renewal risk and recovery planning
Go-to-Market Strategy,Positioning and Messaging,,,S6.1,Q48,What is a Unique Value Proposition (UVP) and what makes one effective?,,uvp_definition_effectiveness,Text,,No,,Brand positioning and sales messaging development
Go-to-Market Strategy,Positioning and Messaging,,,S6.1,Q49,What is a battle card and how should a sales representative use one effectively?,,battle_card_usage,Text,,No,,Competitive positioning and sales enablement
Go-to-Market Strategy,Positioning and Messaging,,,S6.1,Q50,What is the difference between a product-led growth (PLG) and a sales-led growth (SLG) go-to-market motion?,,plg_vs_slg_gtm,Text,,No,,Go-to-market strategy and revenue model design
Go-to-Market Strategy,Positioning and Messaging,,,S6.1,Q51,What is ideal customer profile (ICP) and why is defining it important for efficient go-to-market?,,icp_definition_importance,Text,,No,,Target market definition and sales prioritisation
